,Survey,Clean_Text,Label_prediksi
535,"untuk pembelajarannya sudah cukup bagus, materi yang diajarkan sudah bagus sehingga Siswa mudah memahami materi yang diajarkan",ajar bagus materi ajar bagus siswa mudah paham materi ajar,positif
536,"Guru aljabar hanya bertemu saat zoom dan wa menjadi salah satu alat komunikasi bagi kami Siswa dan Guru, tetapi saat di wa selalu hanya dibaca dan tidak dibalas tanpa alasan yang jelas. Kedua, suara saat mengajar naik turun, kadang tinggi kadang kecil kadang banyak diamnya, sudah pernah mengatakan bahwa suara kurang keras namun beberapa hari kembali lagi suara mengecil. Ketiga, beberapa kali terdengar sedang makan sambil berbicara, itu membuat apa yang dikatakan jadi kurang jelas. Keempat, jika menanyakan sesuatu di zoom jawabannya seringkali kurang memuaskan, dan terkadang menjelaskan menggunakan katakata yang belibet sehingga tidak dapat dipahami. Tidak semua anak pandai/mengerti aljabar, jadi mohon guru dapat membantu dengan mengajar lebih baik lagi dengan katakata yang mudah dipahami dan dengan jawaban yang benarbenar menjawab saat Siswa bertanya, bukan hanya sekedar bilang seperti yang saya jelaskan tadi, kalau sudah mengerti kami tidak akan bertanya bu ¿¿¿¿¿¿¿¿",guru aljabar temu zoom wa salah alat komunikasi siswa guru wa baca balas alas suara ajar turun kadang tinggi kadang kadang diam suara keras suara kecil tiga dengar makan bicara empat zoom jawab seringkali muas terkadang katakata belibet paham anak pandaimengerti aljabar guru bantu ajar katakata mudah paham benar benar siswa dar bilang erti bu,negatif
537,"Kinerja guru pengampu sudah sangat baik, saran untuk beberapa guru mungkin dapat ditingkatkan kehadirannya dalam kelas atau setidaknya memberi materi pada elearning tepat waktu agar mahsiswa tidak terkejut jika materinya baru diupload di akhirakhir semester",kerja guru ampu saran guru tingkat hadir kelas materi elearning waktu mahsiswa kejut materi unggah akhirakhir semester,negatif
538,Untuk kedepannya lebih ditingkatkan lagi dalam penyampaian nya terimakasih kepada Bapak/Ibu guru telah mengajar dengan baik,depan tingkat sampai terimakasih bapak ibu guru ajar,positif
539,"Terkadang saya merasa bu agak kurang menerima tanggapan dari siswa, tapi itu terkadang mungkin karena Bad mood",terkadang bu terima tanggap siswa terkadang bad mood,negatif
540,Saya berharap bapak bisa meningkatkan lagi,harap tingkat,positif
541,"bu . baik banget, makasi bu ilmu nya",bu terimakasih bu ilmu,positif
542,Terimakasih sudah mengajar selama 1 semester,terimakasih ajar semester,positif
543,"hanya mau bilang terimakasih bu sudah mengajar selama semester 3 ini, semoga rejekinya lancar dan sehat selalu aamiin",bilang terimakasih bu ajar semester moga rejekinya lancar sehat amin,positif
544,"baik, terimakasih pak",terimakasih,positif
545,Lebih interaktif lagi dengan Siswa dan siswinya,interaktif siswa siswi,negatif
546,semangat mengajarnya,semangat ajar,positif
547,Semoga lebih baik ke depannya^^,moga depan,positif
548,sangat baik dalam penyampaian materi kepada siswa/i,sampai materi siswa siswi,negatif
549,untuk pembelajaran sudah cukup baik,ajar,positif
550,pertahankan cara mengajarnya pak,tahan ajar,positif
551,Agar mempelajari lebih lagii materi yang mau di ajarkan,ajar lagi materi ajar,positif
552,Penyampaian materi lebih baik dan jelas kedepannya,sampai materi depan,positif
553,baguss,baguss,positif
554,Kurang nya menerima kritik dari Siswa dan selalu memberikan tekanan saran saya lebih baik masuk kelas drpd online,terima kritik siswa tekan saran kelas drpd online,negatif
555,semoga sehat selalu bu,moga sehat bu,positif
556,"ketika menjelaskan materi, suaranya bisa lebih di keraskan agar Siswa di bagian belakang dapat mendengar apa yang disampaikan dengan jelas",materi suara keras siswa dengar,negatif
557,"ketika menyampaikan materi di zoom ditingkatkan lagi karena teman saya termasuk saya tidak faham apa yang ibu jelaskan, terlalu banyak jeda ketika menyampaikan materi, kurang semangat ketika menyampaikan materi, tidak menulis ulang tetapi langsung mencoretcoret di buku sehingga membuat kami sedikit binggung",materi zoom tingkat teman paham jeda materi semangat materi tulis ulang mencoretcoret buku binggung,negatif
558,Guru top,guru bagus,positif
559,"semoga agak sering di beri tugas, supaya dibuat nilai kelulusan Pelajaran ini",moga tugas nilai kelulus ajar,positif
560,Lebih dikembangkan lagi,kembang,positif
561,"Sudah cukup baik, saran : materi yang disampaikan dengan memberikan contoh/kodingan yang dijelaskan satu eprsatu (rinci)",saran materi contohkodingan eprsatu rinci,positif
562,Interaksi guru dengan Siswa sangat kurang dan kurangnya komunikasi antar Siswa,interaksi guru siswa kurang komunikasi siswa,negatif
563,"bu mungkin jika berhalangan hadir dapat konfirmasi sehari sebelum atau h jam, dan penyampaian materinya lebih jelas lagi. terimakasih bu",bu halang hadir konfirmasi hari jam sampai materi terimakasih bu,positif
564,"Sangat baik semua , tapi saya ada saran yaitu Saran saya jika ada pemilihan kelompok lebih baik dipilihkan oleh guru saja agar adil jadi tidak ada kata untuk yang pintar sendiri dan yg kurang pintar sendiri (kubu)",saran saran pilih kelompok pilih guru adil pintar pintar kubu,positif
565,pour le plus grand bien,pour le plus grand bien,positif
566,"Informasi submit TA tidak konsisten, perlu di benahi lagi",informasi submit ta konsisten benah,positif
567,no,,positif
568,"Selama ini hanya bertemu Bu selaku guru pengganti, Bu sudah cukup baik dalam penyampaian materi sesuai RPS dan pembawaan yang sangat nyaman.",temu bu guru ganti bu sampai materi sesuai rps bawa nyaman,positif
569,Semoga kedepannya jadwal ibuknya dapat terkondisi sehingga tidak mengganggu kelas yang sedang di ajar atau pun kelas selanjutnya.,moga depan jadwal ibuknya kondisi ganggu kelas ajar kelas,negatif
570,Terima kasih pak atas materi dan bimbingan yang diberikan selama satu semester ini.,terima kasih materi bimbing semester,positif
571,"MasyaAllah, Tetap semangat dan istiqomah bu!",masyaallah semangat istiqomah bu,positif
572,"Aslab bersikap baik dan materi diberikan sudah cukup baik, untuk pak sendiri memberikan tambahan info materi lebih mendetail dan itu cukup dan semoga konsisten.",aslab sikap materi tambah info materi detail moga konsisten,positif
573,semoga lebih baik kedepannua,moga kedepannua,positif
574,Saya berharap bisa offline dan bertemu secara offline,harap offline temu offline,negatif
575,Tidak ada sudah cukup,,positif
576,"cukup baik bu, gaya pembelajaran yang interaktif serta menarik",bu gaya ajar interaktif tarik,positif
577,mampu menguasai kelas dan lebih aktif dalam menyampaikan materi,kuasa kelas aktif materi,negatif
578,harapannya guru pembimbing 1 dan 2 saling terimtegrasi satu sama lain,harap guru bimbing terimtegrasi,positif
579,meningkatkan interaksi dan diskusi bersama Siswa,tingkat interaksi diskusi siswa,negatif
580,penyampain materi sangat jelas pak mantab,penyampain materi mantap,positif
581,Lebih baik kedepannya,depan,positif
582,Udah baik,,positif
583,sangat baik dan jelas dalam pemberian materi,beri materi,negatif
584,info offline pak,info offline,negatif
585,"mungkin waktunya bisa ditambah, agar bisa diskusi lebih panjang an banyak ilmu yang didapat oleh Siswa",tambah diskusi ilmu siswa,negatif
586,Respect buat Bu,hormat bu,positif
587,tidak ada udah sangat bagus,bagus,positif
588,"cukup baik dalam menerangkan materi, untuk kedepannya mampu memberikan toleransi terkait kekurangan Siswa maupun keterlambatan Siswa",terang materi depan toleransi kait kurang siswa lambat siswa,negatif
589,Para guru pengampunan pelajaran udah baik dalam menjelaskan materi di kelas mungkin ada beberapa guru yang masih mengadakan Pelajaran online semoga semester depan tidak ada Pelajaran online lagi,guru ampun ajar materi kelas guru ada ajar online moga semester ajar online,negatif
590,jadi guru lagi pak di semester depan,guru semester,positif
591,"Memperbanyak pengetahuan mengenai Cloud Computing dan memahami materi terlebih dahulu sebelum memberikan tugas pada siswa, mengurangi interaksi yang tidak penting seperti bercanda mengenai asmara dengan siswa. Pada saat praktikum pun akan lebih baik apabila guru bisa memberikan solusi jika terjadi kendala, penilaian pada saat tugas besar juga perlu ditingkatkan, seperti mereview terlebih dahulu tugas tersebut seperti apa sehingga tidak perlu memberikan komentar yang kurang relevan",banyak tahu cloud computing paham materi tugas siswa kurang interaksi canda asmara siswa praktikum guru solusi kendala nilai tugas tingkat mereview tugas komentar relevan,negatif
592,mohon bersabar bu dengan teman teman,sabar bu teman teman,positif
593,"untuk pembelajaran nya pak kalau memberikan contoh untuk codingan nya itu pelan pelan pak, karena untuk pembelajaran kita semua",ajar contoh codingan perlahan perlahan ajar,negatif
594,Pelajarannya sudah memuaskan,ajar muas,positif
595,"saya merasa kurang dalam materinya,terkadang praktek langsung,tetaapi dasarnya kurang dimengerti beserta fungsi dari setiap elemet/syntac yang diberikan",materinyaterkadang praktek langsungtetaapi dasar erti serta fungsi elemetsyntac,negatif
596,sehat selalu bu,sehat bu,positif
597,sudah baikk,,positif
598,dapat menerima pendapat Siswa,terima dapat siswa,negatif
599,udaa baik,udaa,positif
600,Mungkin jangan mendadak apa bila Guru merubah jadwal atau menjadi kelas Online,dadak guru rubah jadwal kelas online,negatif
601,mantap pakk,mantap,positif
602,Untuk Pengajaran Harap di Evaluasi,ajar harap evaluasi,positif
603,lebih mudah lagi dan jangan terburuburu ngejelasinnya soalnya saya kurang bisa menerima materi dengan cepat,mudah buru buru ngejelasinnya terima materi cepat,positif
604,Ditingkatkan kembali,tingkat,positif
605,Guru tidak pernah ada dalam mapel,guru mata ajar,positif
606,mungkin penjelasan ibu lebih di permudah lagi,jelas mudah,positif
607,Untuk saran tidak ada diikarenakan dalam mengajar dan menjelaskan materin sangat cukup baik,saran diikarenakan ajar materin,positif
608,Sejauh ini tidak ada saran,saran,positif
609,Dapat lebih mencairkan suasana di kelas,cair suasana kelas,positif
610,penyampaian materi lebih enak lagi,sampai materi,positif
611,sedikit mengurangi kecepatan dalam penyampaian materi,kurang cepat sampai materi,negatif
612,Ditiadakan untuk menjadi Pelajaran wajib kedepanya,tiada ajar wajib depa,positif
613,materi mungkin lebih diperjelas lagi,materi jelas,positif
614,mungkin waktu mareri bisa diselingi candaan atau interaksi dengan Siswa pak. terimakasih,waktu mareri ling canda interaksi siswa terimakasih,negatif
615,nice,bagus,positif
616,Yowes lah,yowes,positif
617,"Tidak ada saran, karena bu memang sabar dan seru dalam mengajar",saran bu sabar seru ajar,positif
618,"tetap menjadi guru yang detail, sehingga metode pembelajaran mudah dimengerti dalam penyampaian materi oleh Siswa terutama impelemntasi praktikum.",guru detail metode ajar mudah erti sampai materi siswa impelemntasi praktikum,negatif
619,pak sudah menjelaskan materi dengan sangat jelas,materi,negatif
620,"Alhamdulillah, baik",alhamdulillah,positif
621,"semuanya baik, saya hanya mau bilang terimakasih pak sudah mengajar selama semester ini, semoga sehat selalu dan banyak rezekinya aamiin",bilang terimakasih ajar semester moga sehat rezeki amin,positif
622,Semoga kedepannya dalam proses pembelajaran lebih baik lagi,moga depan proses ajar,positif
623,Semoga semakin baik kedepannya,moga depan,positif
624,suaranya kalau bisa lebih jernih lagi karena waktu zoom kurang jelas dan terlalu banyak diam yang bisa membuat siswa/i cepat bosan,suara jernih waktu zoom diam siswa siswi cepat bosan,negatif
625,Mungkin karena pembelajaran daring maka materi yang diajarkan kurang maksimal.,ajar daring materi ajar maksimal,positif
626,Guru favorit,guru favorit,positif
627,"Jika menjelaskan materi lebih jelas lagi pak agar lebih faham, terima kasih",materi paham terima kasih,positif
628,Semoga bisa dijelasin dengan praktik. Bukan asprak saja karena aspraknya juga masih belum pro,moga praktik asprak asprak pro,negatif
629,mungkin untuk penggabungan kelasnya bisa lebih enak seperti di ruang kelas karena lebih fleksibel,gabung kelas ruang kelas fleksibel,negatif
630,"Pemahaman saya terhadap materi yang diberikan kepada saya cukup baik, karena materi yang disampaikan cukup jelas serta kami juga bisa membaca lagi materi yg telah disampaikan melalui elaerning , Terimakasih telah mengajar saya di semester 1 ini.",paham materi materi baca materi elaerning terimakasih ajar semester,negatif
631,Semoga kedepannya tetep semangat dalam mengajar Pelajaran TIK pak,moga depan tetep semangat ajar ajar tik,positif
632,saran saya untuk lebih mendetail secara materi,saran detail materi,negatif
633,semoga guru dapat memberikan pembelajaran lebih menarik,moga guru ajar tarik,positif
634,semoga mengajar dengan baik lagi,moga ajar,positif
635,Dimohon untuk pak supaya lebih diperjelas kalau memberi tugas dan membahas lgi tugas yg telah diberikan,mohon jelas tugas bahas tugas,negatif
636,Respect pak.,hormat,positif
637,Sebaiknya materi dijelaskan lebih rinci,materi rinci,positif
638,"maaf bu sebelum nya, saya benar benar kurang memahami apa yang ibu sampaikan , saya memahami mungkin ibu juga mengursi pekerjaan rumah juga, tap saya kurang bisa memahami cara penjelasan ibu, dan ketika ibu di beri masukan oleh Siswa kelas kami, ibu kurang bisa menerima padahal penyampaian kmi juga sopan",maaf bu paham paham kursi kerja rumah tap paham jelas masuk siswa kelas terima sampai kmi sopan,positif
639,Sudah cukup dalam menyampaikan materi,materi,negatif
640,Pencapain materi udah lumayan pas dan mudah dipahami,pencapain materi lumayan pas mudah paham,positif
641,Tidak ada saran karena sudah sempurna menurut saya,saran sempurna,positif
642,Lebih diperbanyak asprak cewe,banyak asprak cewe,negatif
643,jika ada tugas besar sebaiknya siswanya di anjung untuk konsultasi progress nya,tugas siswa anjung konsultasi progress,negatif
644,Sehat selalu pak,sehat,positif
645,materi yang diberikan terkadang kurang di pahami karena penerapan yang di berikan kurang bisa maksimal,materi terkadang paham terap maksimal,negatif
646,Saya hanya Bingung UAS nya tiba tiba disuruh ngoding padahal dalam pembelajaran tidak diajarkan dalam Pelajaran dan mengakibatkan saya kebingungan untuk menggunakan metode untuk UaS yang saya jalankan,bingung uji akhir semester perintah ngoding ajar ajar ajar akibat bingung metode uji akhir semester jalan,negatif
647,Mantab,mantap,positif
648,Keseluruhan cukup baik,,positif
649,"saran dari saya, cara mengajar ibu guru baik jadi tidak ada saran",saran ajar guru saran,positif
650,"Tidak ada saran. Terima kasih, pak.",saran terima kasih,positif
651,"semangat pak , semoga lekas sembuh pak dan bisa mengajar lagi",semangat moga lekas sembuh ajar,positif
652,"Sudah sangat baik , semoga tetap konsisten seperti itu bu:)",moga konsisten bu,positif
653,sabar bu,sabar bu,positif
654,"ngajar yang ikhlas pak, masa Siswa suruh liat tutor yt terus",ajar ikhlas siswa perintah liat tutor yt,negatif
655,saya susah paham materinya pak:),susah paham materi,negatif
656,"saya jarang lihat pak , tapi tidak apa apa, untuk bu cukup baik, penjelasannya jelas, saya suka",jarang bu jelas suka,positif
657,i love you bu saranghae ¿¿¿,cinta bu saranghae,positif
658,Materi yang diberikan sudah jelas dan cara mengajar yang sudah baik dan interaktif. bisa dipertahankan,materi ajar interaktif tahan,positif
659,saran kepada ibu tidak ada soalnya sudah bagus,saran bagus,positif
660,Lebih ditekankan untuk jadwal yang teratur,tekan jadwal atur,negatif
661,Menjadi lebih baik lagi untuk kedepannya,depan,positif
662,Dalan hal menerangkan pelajaran sangat jelas dan mudah untuk dipahami,dal terang ajar mudah paham,positif
663,sudah sangat baik dalam me ngajar sehingga saya cepat me mahali materi,ajar cepat mahal materi,negatif
664,sudah bagus dalam mengajar,bagus ajar,positif
665,Agar Siswa bisa lebih mudah memahami materi yang diberikan akan lebih efisien jika dilakukan live coding sembari dijelaskan,siswa mudah paham materi efisien live coding sembari,positif
666,"Sebaiknya presensi dilakukan maksimal 15 menit setelah waktunya kelas dimulai, karena ada peraturan Siswa dianggap terlambat atau tidak datang jika lebih dari 15 menit setelah jam kelas dimulai.",presensi maksimal menit kelas atur siswa anggap lambat menit jam kelas,negatif
667,Nicee,nicee,positif
668,"Saran saya, kalau mengajar supaya bisa lebih asik lagi bu",saran ajar asik bu,positif
669,Bisa offline,offline,negatif
670,"Beberapa tugas/project tidak diberikan feedback, jadi saya kurang tahu salah saya dimana dan hasil/nilai dari project tersebut kurang atau cukup",tugasproject feedback tau salah mana hasilnilai projek,positif
671,Terima kasih pak,terima kasih,positif
672,sudah bagus,bagus,positif
673,Bisa ditingkatkan lagi,tingkat,positif
674,Ttidak ada,ttidak,positif
675,"semoga kedepanya bisa lebih baik, dan bisa memperbaiki apa yang menurut anda perlu diperbaiki",moga depa baik baik,positif
676,Sudah sangat baik. Terus berkembang . Terimakasih,kembang terimakasih,positif
677,"saran untuk pak semoga kedepannya lebih lengkap untuk menyampaikan materi, dan semoga pak sehat selalu",saran moga depan lengkap materi moga sehat,positif
678,sangat sabar menghadaoi Siswa,sabar menghadaoi siswa,negatif
679,Jangan sulit sulit kalau memberi tugas bu,sulit sulit tugas bu,negatif
680,Bila menyampaikan materi saya sarankan untuk penyampaian yang mudah di pahami Siswa dan jangan banyak kata ee eee eee,materi saran sampai mudah paham siswa ee,positif
681,Penyampian materinya sangat jelas. Terimakasih bu atas ilmunya,penyampian materi terimakasih bu ilmu,positif
682,Sangat baik dipertahankan,tahan,positif
683,semoga Pak tidak pelit dalam memberikan nilai,moga pelit nilai,positif
684,Terimakasih telah memberikan ilmu pada semester ini. Secara keseluruhan guru telah menyampaikan dengan sangat baik.,terimakasih ilmu semester guru,positif
685,Semoga sehat selalu dan bertambah rezekinya,moga sehat tambah rezeki,positif
686,Semoga bisa lebih baik lagi dalam mengajar.,moga ajar,positif
687,"saya rasa konsep mengajarnya cukup baik, hanya Siswa dilepas untuk mencari referensi materi sendiri.",konsep ajar siswa lepas cari referensi materi,negatif
688,Proses belajar mengajar kurang efektif,proses ajar ajar efektif,positif
689,tetap semangat pak,semangat,positif
690,tentang penyampaian materi,sampai materi,positif
691,Semoga lebih asik dalam pembelajarannya,moga asik ajar,positif
692,Mohon tepat waktu pak dalam mengajarnya,waktu ajar,negatif
693,Sudah sangat baik pak dalam menyampaikan materi,materi,negatif
694,Lebih melakukan pendekatan terhadap Siswa,dekat siswa,negatif
695,Semoga metode pembelajaran yang bermutu dan dipertahankan,moga metode ajar mutu tahan,positif
696,sarannya agar menciptakan metode pembelajaran yang tidak membosankan dikarenakan mataPelajaran manajemen sangat banyak sekali teori dan bacaannya,saran cipta metode ajar bosan mata ajar manajemen teori baca,negatif
697,terlalu sore jadwalnya,sore jadwal,negatif
698,Saran untuk pembelajaran Pelajaran pemrograman lanjut adalah semoga semakin lebih baik lagi dalam menyampaikan materi,saran ajar ajar pemrograman moga materi,positif
699,tidak ada saran dari saya sekian terimakasih,saran sekian terimakasih,positif
700,"Saya berharap ibu guru memberikan tugas sesuai dengan proporsi dan kemampuan siswa, sehingga tugas tersebut lebih optimal dan tidak membebani siswa/i dan penyampaian materi yg terlalu cepat",harap guru tugas sesuai proporsi mampu siswa tugas optimal beban siswa siswi sampai materi cepat,negatif
701,Sudah baik silahkan dipertahankan,silah tahan,positif
702,Memberikan sebuah literatur agar Siswa lebih mudah dalam proses belajar,literatur siswa mudah proses ajar,positif
703,ganti aja,ganti,positif
704,Lebih baiik lagi,baiik,positif
705,sangat cukup,,positif
706,tidak ada saran semua sangat baik,saran,positif
707,oke mantap,oke mantap,positif
708,Semangat meningkatkan kualitas,semangat tingkat kualitas,positif
709,Untuk saran menurut saya tidak ada karena pak sangat baik dalam mengajar,saran ajar,positif
710,"saran dari saya , ibu guru lebih pelan pelan dalam memberikan materi Pelajaran sehingga saya dapat memahami dengan baik .",saran guru perlahan perlahan materi ajar paham,positif
711,Semoga sehat selalu,moga sehat,positif
712,Memperbanyak latian soal dan mempraktikan langsung pada alat fisik maupun simulasi,banyak latian praktik alat fisik simulasi,positif
713,Seharusnya diadakan ofline aja sih,ada ofline sih,positif
714,terimakasih bu atas ilmu yang diberikan,terimakasih bu ilmu,positif
715,"Sudah baik, mungkin kedepannya sekolah bisa menyediakan buku fisik seperti sekolah lainnya",depan sekolah sedia buku fisik sekolah,positif
