,Survey,Clean_Text,Label
506,sangat sangat baik karena bikin Siswa cepet paham,sangat sangat baik siswa cepat paham,positif
507,"Semoga menjadi lebih baik untuk kedepannya & Agar Kedepannya Jika Mengajar Matematika / Statistika, Dimohon Untuk Offline Bu .. Kasihan TemanTeman Yang Masih Kurang Paham",moga baik untuk depan depan ajar matematika statistika mohon untuk offline bu kasihan teman teman yang kurang paham,negatif
508,"tidak ada, cukup baik",tidak ada cukup baik,positif
509,Untuk kedepannya mungkin dalam proses mengajar materi perhitungan lebih banyak penjelasan pada papan/secara tertulis,untuk depan proses ajar materi hitung jelas papansecara tulis,negatif
510,Terimakasih pak,terimakasih,positif
511,"untuk Pelajaran Pancasila semoga kedepannya bisa dilaksanakan pembelajran offline apabila situasi memungkinkan,saya berharap akan hal itu.",untuk ajar pancasila moga depan laksana pembelajran offline situasi memungkinkansaya harap,negatif
512,sudah baik tpi kadang penyampaian materi sedikit keluar dari konteks,baik kadang sampai materi konteks,negatif
513,mantab Pak,mantap,positif
514,lebih di tingkatkan lagi agar bisa menjadi lebih baik dan lebih baik lagi dari sebelumnya,tingkat baik baik,positif
515,Untuk saran tidak ada dikarenakan dalam membawa dan menjelaskan materi cukup baik,untuk saran tidak ada bawa materi cukup baik,positif
516,Semangat selalu Bu ! :),semangat bu,positif
517,"terimakasaih untuk ilmunya satu semester ini bu, dari tugas tugas yang diberikan itu sangat bisa menambah wawasan saya, dan semoga bu sehat selalu",terimakasaih untuk ilmu semester ini bu tugas tugas yang sangat tambah wawas moga bu sehat,positif
518,semoga mengajarnya lebih baik dari sebelumnya,moga ajar baik,positif
519,semangat terus bu terimakasih atas bimbingan nya,semangat bu terimakasih bimbing,positif
520,Semoga panjang umur,moga umur,positif
521,soalnya jangan terlalu sulit,sulit,negatif
522,Lebih meningkatkan kinerja,tingkat kerja,positif
523,Perfect,sempurna,positif
524,tetap semangat dalam mengajar di,semangat ajar,positif
525,bisa jadi lebih baik,baik,positif
526,Guru pengampu sangat menguasai materi namun karena dilaksanakan online sehingga kurangnya materi yang diterima.,guru ampu sangat kuasa materi laksana online kurang materi yang terima,negatif
527,Mungkin jika tidak hadir bisa digantikan dengan materi atau tugas,tidak hadir ganti materi tugas,negatif
528,"Menurut pendapat saya pribadi, praktikum sistem Terintegrasi II sangat tidak efektif terutama pada asisten labnya. Selama 1 semester ini jujur hanya 1 materi yang benar benar di ajarkan dan dibimbing pengerjaan nya oleh asisten. Selebihnya mereka kebanyakan menolak jika diajak asistensi bahkan menyepelekan. Ada diantara mereka yang mengatakan bahwa benar atau salah pengerjaan kami sebenarnya tidak dilihat dan diperdulikan, karena tetap akan mendapatkan nilai yang baik. Tapi memang hasil pengerjaan nya alakadarnya karena memangkurang pemahaman dan bimbingan. Saya harap ibu rizka bisa mempertimbangkan terkait asisten lab yang lama atau yang baru supaya kejadian serupa tidak terulang karena kami juga yang merasa dirugikan karena ketidak efektif an praktikum.",dapat pribadi praktikum sistem integrasi ii sangat tidak efektif asisten lab semester ini jujur materi yang ajar bimbing kerja asisten lebih banyak tolak ajak asistensi sepele ada yang salah kerja tidak duli nilai yang baik hasil kerja alakadarnya memangkurang paham bimbing harap rizka timbang kait asisten lab yang yang jadi tidak ulang yang rugi tidak efektif an praktikum,negatif
529,Alhamdulillah Baik,alhamdulillah baik,positif
530,lebih diperjelas lagi untuk materinya,jelas untuk materi,negatif
531,lebih ke menjelaskan lebih detail bu jangan kecepetan,detail bu kecepetan,positif
532,Yang penting ngisi,yang ngisi,negatif
533,"sudah baik, semoga kedepanya semakin baik",baik moga depa baik,positif
534,ridak ada,ridak ada,positif
535,"untuk pembelajarannya sudah cukup bagus, materi yang diajarkan sudah bagus sehingga Siswa mudah memahami materi yang diajarkan",untuk ajar cukup bagus materi yang ajar bagus siswa mudah paham materi yang ajar,positif
536,"Guru aljabar hanya bertemu saat zoom dan wa menjadi salah satu alat komunikasi bagi kami Siswa dan Guru, tetapi saat di wa selalu hanya dibaca dan tidak dibalas tanpa alasan yang jelas. Kedua, suara saat mengajar naik turun, kadang tinggi kadang kecil kadang banyak diamnya, sudah pernah mengatakan bahwa suara kurang keras namun beberapa hari kembali lagi suara mengecil. Ketiga, beberapa kali terdengar sedang makan sambil berbicara, itu membuat apa yang dikatakan jadi kurang jelas. Keempat, jika menanyakan sesuatu di zoom jawabannya seringkali kurang memuaskan, dan terkadang menjelaskan menggunakan katakata yang belibet sehingga tidak dapat dipahami. Tidak semua anak pandai/mengerti aljabar, jadi mohon guru dapat membantu dengan mengajar lebih baik lagi dengan katakata yang mudah dipahami dan dengan jawaban yang benarbenar menjawab saat Siswa bertanya, bukan hanya sekedar bilang seperti yang saya jelaskan tadi, kalau sudah mengerti kami tidak akan bertanya bu ¿¿¿¿¿¿¿¿",guru aljabar temu saat zoom whatsapp salah alat komunikasi siswa guru saat whatsapp baca tidak balas alas yang suara saat ajar turun kadang tinggi kadang kadang diam suara kurang keras suara kecil tiga dengar makan bicara yang kurang empat zoom jawab seringkali kurang muas terkadang katakata yang belibet tidak paham tidak anak pandaimengerti aljabar guru bantu ajar baik katakata yang mudah paham yang benar benar saat siswa dar bilang yang erti tidak bu,negatif
537,"Kinerja guru pengampu sudah sangat baik, saran untuk beberapa guru mungkin dapat ditingkatkan kehadirannya dalam kelas atau setidaknya memberi materi pada elearning tepat waktu agar mahsiswa tidak terkejut jika materinya baru diupload di akhirakhir semester",kerja guru ampu sangat baik saran untuk guru tingkat hadir kelas materi elearning waktu mahasiswa tidak kejut materi unggah akhirakhir semester,negatif
538,Untuk kedepannya lebih ditingkatkan lagi dalam penyampaian nya terimakasih kepada Bapak/Ibu guru telah mengajar dengan baik,untuk depan tingkat sampai terimakasih bapak ibu guru ajar baik,positif
539,"Terkadang saya merasa bu agak kurang menerima tanggapan dari siswa, tapi itu terkadang mungkin karena Bad mood",terkadang bu kurang terima tanggap siswa terkadang buruk mood,negatif
540,Saya berharap bapak bisa meningkatkan lagi,harap tingkat,positif
541,"bu . baik banget, makasi bu ilmu nya",bu baik sangat terimakasih bu ilmu,positif
542,Terimakasih sudah mengajar selama 1 semester,terimakasih ajar semester,positif
543,"hanya mau bilang terimakasih bu sudah mengajar selama semester 3 ini, semoga rejekinya lancar dan sehat selalu aamiin",bilang terimakasih bu ajar semester ini moga rejekinya lancar sehat amin,positif
544,"baik, terimakasih pak",baik terimakasih,positif
545,Lebih interaktif lagi dengan Siswa dan siswinya,interaktif siswa siswi,negatif
546,semangat mengajarnya,semangat ajar,positif
547,Semoga lebih baik ke depannya^^,moga baik depan,positif
548,sangat baik dalam penyampaian materi kepada siswa/i,sangat baik sampai materi siswa siswi,positif
549,untuk pembelajaran sudah cukup baik,untuk ajar cukup baik,positif
550,pertahankan cara mengajarnya pak,tahan ajar,positif
551,Agar mempelajari lebih lagii materi yang mau di ajarkan,ajar lagi materi yang ajar,negatif
552,Penyampaian materi lebih baik dan jelas kedepannya,sampai materi baik depan,positif
553,baguss,baguss,positif
554,Kurang nya menerima kritik dari Siswa dan selalu memberikan tekanan saran saya lebih baik masuk kelas drpd online,kurang terima kritik siswa tekan saran baik kelas online,negatif
555,semoga sehat selalu bu,moga sehat bu,positif
556,"ketika menjelaskan materi, suaranya bisa lebih di keraskan agar Siswa di bagian belakang dapat mendengar apa yang disampaikan dengan jelas",materi suara keras siswa dengar yang,negatif
557,"ketika menyampaikan materi di zoom ditingkatkan lagi karena teman saya termasuk saya tidak faham apa yang ibu jelaskan, terlalu banyak jeda ketika menyampaikan materi, kurang semangat ketika menyampaikan materi, tidak menulis ulang tetapi langsung mencoretcoret di buku sehingga membuat kami sedikit binggung",materi zoom tingkat teman tidak paham yang jeda materi kurang semangat materi tidak tulis ulang mencoretcoret buku binggung,negatif
558,Guru top,guru bagus,positif
559,"semoga agak sering di beri tugas, supaya dibuat nilai kelulusan Pelajaran ini",moga tugas nilai kelulus ajar ini,positif
560,Lebih dikembangkan lagi,kembang,positif
561,"Sudah cukup baik, saran : materi yang disampaikan dengan memberikan contoh/kodingan yang dijelaskan satu eprsatu (rinci)",cukup baik saran materi yang contohkodingan yang eprsatu rinci,positif
562,Interaksi guru dengan Siswa sangat kurang dan kurangnya komunikasi antar Siswa,interaksi guru siswa sangat kurang kurang komunikasi siswa,negatif
563,"bu mungkin jika berhalangan hadir dapat konfirmasi sehari sebelum atau h jam, dan penyampaian materinya lebih jelas lagi. terimakasih bu",bu halang hadir konfirmasi hari jam sampai materi terimakasih bu,positif
564,"Sangat baik semua , tapi saya ada saran yaitu Saran saya jika ada pemilihan kelompok lebih baik dipilihkan oleh guru saja agar adil jadi tidak ada kata untuk yang pintar sendiri dan yg kurang pintar sendiri (kubu)",sangat baik ada saran saran ada pilih kelompok baik pilih guru adil tidak ada untuk yang pintar yang kurang pintar kubu,negatif
565,pour le plus grand bien,pour le plus grand bien,positif
566,"Informasi submit TA tidak konsisten, perlu di benahi lagi",informasi submit ta tidak konsisten benah,positif
567,no,no,positif
568,"Selama ini hanya bertemu Bu selaku guru pengganti, Bu sudah cukup baik dalam penyampaian materi sesuai RPS dan pembawaan yang sangat nyaman.",ini temu bu guru ganti bu cukup baik sampai materi sesuai rps bawa yang sangat nyaman,positif
569,Semoga kedepannya jadwal ibuknya dapat terkondisi sehingga tidak mengganggu kelas yang sedang di ajar atau pun kelas selanjutnya.,moga depan jadwal ibu kondisi tidak ganggu kelas yang ajar kelas,negatif
570,Terima kasih pak atas materi dan bimbingan yang diberikan selama satu semester ini.,terima kasih materi bimbing yang semester ini,positif
571,"MasyaAllah, Tetap semangat dan istiqomah bu!",masyaallah semangat istiqomah bu,positif
572,"Aslab bersikap baik dan materi diberikan sudah cukup baik, untuk pak sendiri memberikan tambahan info materi lebih mendetail dan itu cukup dan semoga konsisten.",aslab sikap baik materi cukup baik untuk tambah info materi detail cukup moga konsisten,positif
573,semoga lebih baik kedepannua,moga baik kedepannua,positif
574,Saya berharap bisa offline dan bertemu secara offline,harap offline temu offline,negatif
575,Tidak ada sudah cukup,tidak ada cukup,positif
576,"cukup baik bu, gaya pembelajaran yang interaktif serta menarik",cukup baik bu gaya ajar yang interaktif tarik,positif
577,mampu menguasai kelas dan lebih aktif dalam menyampaikan materi,kuasa kelas aktif materi,negatif
578,harapannya guru pembimbing 1 dan 2 saling terimtegrasi satu sama lain,harap guru bimbing terimtegrasi,positif
579,meningkatkan interaksi dan diskusi bersama Siswa,tingkat interaksi diskusi siswa,negatif
580,penyampain materi sangat jelas pak mantab,penyampain materi sangat mantap,positif
581,Lebih baik kedepannya,baik depan,positif
582,Udah baik,baik,positif
583,sangat baik dan jelas dalam pemberian materi,sangat baik beri materi,positif
584,info offline pak,info offline,negatif
585,"mungkin waktunya bisa ditambah, agar bisa diskusi lebih panjang an banyak ilmu yang didapat oleh Siswa",tambah diskusi an ilmu yang siswa,negatif
586,Respect buat Bu,hormat untuk bu,positif
587,tidak ada udah sangat bagus,tidak ada sangat bagus,positif
588,"cukup baik dalam menerangkan materi, untuk kedepannya mampu memberikan toleransi terkait kekurangan Siswa maupun keterlambatan Siswa",cukup baik terang materi untuk depan toleransi kait kurang siswa lambat siswa,negatif
589,Para guru pengampunan pelajaran udah baik dalam menjelaskan materi di kelas mungkin ada beberapa guru yang masih mengadakan Pelajaran online semoga semester depan tidak ada Pelajaran online lagi,guru ampun ajar baik materi kelas ada guru yang ada ajar online moga semester tidak ada ajar online,negatif
590,jadi guru lagi pak di semester depan,guru semester,positif
591,"Memperbanyak pengetahuan mengenai Cloud Computing dan memahami materi terlebih dahulu sebelum memberikan tugas pada siswa, mengurangi interaksi yang tidak penting seperti bercanda mengenai asmara dengan siswa. Pada saat praktikum pun akan lebih baik apabila guru bisa memberikan solusi jika terjadi kendala, penilaian pada saat tugas besar juga perlu ditingkatkan, seperti mereview terlebih dahulu tugas tersebut seperti apa sehingga tidak perlu memberikan komentar yang kurang relevan",banyak tahu cloud computing paham materi tugas siswa kurang interaksi yang tidak canda asmara siswa saat praktikum baik guru solusi kendala nilai saat tugas tingkat mereview tugas tidak komentar yang kurang relevan,negatif
592,mohon bersabar bu dengan teman teman,sabar bu teman teman,positif
593,"untuk pembelajaran nya pak kalau memberikan contoh untuk codingan nya itu pelan pelan pak, karena untuk pembelajaran kita semua",untuk ajar contoh untuk codingan perlahan perlahan untuk ajar,negatif
594,Pelajarannya sudah memuaskan,ajar muas,positif
595,"saya merasa kurang dalam materinya,terkadang praktek langsung,tetaapi dasarnya kurang dimengerti beserta fungsi dari setiap elemet/syntac yang diberikan",kurang materinyaterkadang praktek langsungtetaapi dasar kurang erti serta fungsi elemetsyntac yang,negatif
596,sehat selalu bu,sehat bu,positif
597,sudah baikk,baik,positif
598,dapat menerima pendapat Siswa,terima dapat siswa,negatif
599,udaa baik,udaa baik,positif
600,Mungkin jangan mendadak apa bila Guru merubah jadwal atau menjadi kelas Online,dadak guru rubah jadwal kelas online,negatif
601,mantap pakk,mantap,positif
602,Untuk Pengajaran Harap di Evaluasi,untuk ajar harap evaluasi,negatif
603,lebih mudah lagi dan jangan terburuburu ngejelasinnya soalnya saya kurang bisa menerima materi dengan cepat,mudah buru buru jelas kurang terima materi cepat,negatif
604,Ditingkatkan kembali,tingkat,positif
605,Guru tidak pernah ada dalam mapel,guru tidak ada mata ajar,positif
606,mungkin penjelasan ibu lebih di permudah lagi,jelas mudah,positif
607,Untuk saran tidak ada diikarenakan dalam mengajar dan menjelaskan materin sangat cukup baik,untuk saran tidak ada diikarenakan ajar materin sangat cukup baik,positif
608,Sejauh ini tidak ada saran,jauh ini tidak ada saran,positif
609,Dapat lebih mencairkan suasana di kelas,cair suasana kelas,negatif
610,penyampaian materi lebih enak lagi,sampai materi,positif
611,sedikit mengurangi kecepatan dalam penyampaian materi,kurang cepat sampai materi,negatif
612,Ditiadakan untuk menjadi Pelajaran wajib kedepanya,tiada untuk ajar wajib depa,positif
613,materi mungkin lebih diperjelas lagi,materi jelas,positif
614,mungkin waktu mareri bisa diselingi candaan atau interaksi dengan Siswa pak. terimakasih,waktu mareri ling canda interaksi siswa terimakasih,negatif
615,nice,bagus,positif
616,Yowes lah,yowes,positif
617,"Tidak ada saran, karena bu memang sabar dan seru dalam mengajar",tidak ada saran bu sabar seru ajar,positif
618,"tetap menjadi guru yang detail, sehingga metode pembelajaran mudah dimengerti dalam penyampaian materi oleh Siswa terutama impelemntasi praktikum.",guru yang detail metode ajar mudah erti sampai materi siswa impelemntasi praktikum,negatif
619,pak sudah menjelaskan materi dengan sangat jelas,materi sangat,positif
620,"Alhamdulillah, baik",alhamdulillah baik,positif
621,"semuanya baik, saya hanya mau bilang terimakasih pak sudah mengajar selama semester ini, semoga sehat selalu dan banyak rezekinya aamiin",baik bilang terimakasih ajar semester ini moga sehat rezeki amin,positif
622,Semoga kedepannya dalam proses pembelajaran lebih baik lagi,moga depan proses ajar baik,positif
623,Semoga semakin baik kedepannya,moga baik depan,positif
624,suaranya kalau bisa lebih jernih lagi karena waktu zoom kurang jelas dan terlalu banyak diam yang bisa membuat siswa/i cepat bosan,suara jernih waktu zoom kurang diam yang siswa siswi cepat bosan,negatif
625,Mungkin karena pembelajaran daring maka materi yang diajarkan kurang maksimal.,ajar daring materi yang ajar kurang maksimal,negatif
626,Guru favorit,guru favorit,positif
627,"Jika menjelaskan materi lebih jelas lagi pak agar lebih faham, terima kasih",materi paham terima kasih,positif
628,Semoga bisa dijelasin dengan praktik. Bukan asprak saja karena aspraknya juga masih belum pro,moga praktik asprak asprak belum pro,positif
629,mungkin untuk penggabungan kelasnya bisa lebih enak seperti di ruang kelas karena lebih fleksibel,untuk gabung kelas ruang kelas fleksibel,negatif
630,"Pemahaman saya terhadap materi yang diberikan kepada saya cukup baik, karena materi yang disampaikan cukup jelas serta kami juga bisa membaca lagi materi yg telah disampaikan melalui elaerning , Terimakasih telah mengajar saya di semester 1 ini.",paham materi yang cukup baik materi yang cukup baca materi yang elaerning terimakasih ajar semester ini,positif
631,Semoga kedepannya tetep semangat dalam mengajar Pelajaran TIK pak,moga depan tetep semangat ajar ajar tik,positif
632,saran saya untuk lebih mendetail secara materi,saran untuk detail materi,negatif
633,semoga guru dapat memberikan pembelajaran lebih menarik,moga guru ajar tarik,positif
634,semoga mengajar dengan baik lagi,moga ajar baik,positif
635,Dimohon untuk pak supaya lebih diperjelas kalau memberi tugas dan membahas lgi tugas yg telah diberikan,mohon untuk jelas tugas bahas tugas yang,negatif
636,Respect pak.,hormat,positif
637,Sebaiknya materi dijelaskan lebih rinci,materi rinci,positif
638,"maaf bu sebelum nya, saya benar benar kurang memahami apa yang ibu sampaikan , saya memahami mungkin ibu juga mengursi pekerjaan rumah juga, tap saya kurang bisa memahami cara penjelasan ibu, dan ketika ibu di beri masukan oleh Siswa kelas kami, ibu kurang bisa menerima padahal penyampaian kmi juga sopan",maaf bu kurang paham yang paham kursi kerja rumah tap kurang paham jelas masuk siswa kelas kurang terima sampai sopan,negatif
639,Sudah cukup dalam menyampaikan materi,cukup materi,positif
640,Pencapain materi udah lumayan pas dan mudah dipahami,pencapain materi lumayan pas mudah paham,positif
641,Tidak ada saran karena sudah sempurna menurut saya,tidak ada saran sempurna,positif
642,Lebih diperbanyak asprak cewe,banyak asprak cewe,negatif
643,jika ada tugas besar sebaiknya siswanya di anjung untuk konsultasi progress nya,ada tugas siswa anjung untuk konsultasi progress,negatif
644,Sehat selalu pak,sehat,positif
645,materi yang diberikan terkadang kurang di pahami karena penerapan yang di berikan kurang bisa maksimal,materi yang terkadang kurang paham terap yang kurang maksimal,negatif
646,Saya hanya Bingung UAS nya tiba tiba disuruh ngoding padahal dalam pembelajaran tidak diajarkan dalam Pelajaran dan mengakibatkan saya kebingungan untuk menggunakan metode untuk UaS yang saya jalankan,bingung uji akhir semester perintah coding ajar tidak ajar ajar akibat bingung untuk metode untuk uji akhir semester yang jalan,negatif
647,Mantab,mantap,positif
648,Keseluruhan cukup baik,cukup baik,positif
649,"saran dari saya, cara mengajar ibu guru baik jadi tidak ada saran",saran ajar guru baik tidak ada saran,positif
650,"Tidak ada saran. Terima kasih, pak.",tidak ada saran terima kasih,positif
651,"semangat pak , semoga lekas sembuh pak dan bisa mengajar lagi",semangat moga lekas sembuh ajar,positif
652,"Sudah sangat baik , semoga tetap konsisten seperti itu bu:)",sangat baik moga konsisten bu,positif
653,sabar bu,sabar bu,positif
654,"ngajar yang ikhlas pak, masa Siswa suruh liat tutor yt terus",ajar yang ikhlas siswa perintah liat tutor yt,negatif
655,saya susah paham materinya pak:),susah paham materi,negatif
656,"saya jarang lihat pak , tapi tidak apa apa, untuk bu cukup baik, penjelasannya jelas, saya suka",jarang tidak untuk bu cukup baik jelas suka,positif
657,i love you bu saranghae ¿¿¿,cinta you bu cinta,positif
658,Materi yang diberikan sudah jelas dan cara mengajar yang sudah baik dan interaktif. bisa dipertahankan,materi yang ajar yang baik interaktif tahan,positif
659,saran kepada ibu tidak ada soalnya sudah bagus,saran tidak ada bagus,positif
660,Lebih ditekankan untuk jadwal yang teratur,tekan untuk jadwal yang atur,negatif
661,Menjadi lebih baik lagi untuk kedepannya,baik untuk depan,positif
662,Dalan hal menerangkan pelajaran sangat jelas dan mudah untuk dipahami,dal terang ajar sangat mudah untuk paham,positif
663,sudah sangat baik dalam me ngajar sehingga saya cepat me mahali materi,sangat baik me ajar cepat me mahal materi,positif
664,sudah bagus dalam mengajar,bagus ajar,positif
665,Agar Siswa bisa lebih mudah memahami materi yang diberikan akan lebih efisien jika dilakukan live coding sembari dijelaskan,siswa mudah paham materi yang efisien live coding sembari,negatif
666,"Sebaiknya presensi dilakukan maksimal 15 menit setelah waktunya kelas dimulai, karena ada peraturan Siswa dianggap terlambat atau tidak datang jika lebih dari 15 menit setelah jam kelas dimulai.",presensi maksimal menit kelas ada atur siswa anggap lambat tidak menit jam kelas,negatif
667,Nicee,nicee,positif
668,"Saran saya, kalau mengajar supaya bisa lebih asik lagi bu",saran ajar asik bu,positif
669,Bisa offline,offline,negatif
670,"Beberapa tugas/project tidak diberikan feedback, jadi saya kurang tahu salah saya dimana dan hasil/nilai dari project tersebut kurang atau cukup",tugasproject tidak feedback kurang tau salah mana hasilnilai projek kurang cukup,negatif
671,Terima kasih pak,terima kasih,positif
672,sudah bagus,bagus,positif
673,Bisa ditingkatkan lagi,tingkat,positif
674,Ttidak ada,ttidak ada,positif
675,"semoga kedepanya bisa lebih baik, dan bisa memperbaiki apa yang menurut anda perlu diperbaiki",moga depa baik baik yang baik,positif
676,Sudah sangat baik. Terus berkembang . Terimakasih,sangat baik kembang terimakasih,positif
677,"saran untuk pak semoga kedepannya lebih lengkap untuk menyampaikan materi, dan semoga pak sehat selalu",saran untuk moga depan lengkap untuk materi moga sehat,positif
678,sangat sabar menghadaoi Siswa,sangat sabar menghadaoi siswa,positif
679,Jangan sulit sulit kalau memberi tugas bu,sulit sulit tugas bu,negatif
680,Bila menyampaikan materi saya sarankan untuk penyampaian yang mudah di pahami Siswa dan jangan banyak kata ee eee eee,materi saran untuk sampai yang mudah paham siswa ee,negatif
681,Penyampian materinya sangat jelas. Terimakasih bu atas ilmunya,penyampian materi sangat terimakasih bu ilmu,positif
682,Sangat baik dipertahankan,sangat baik tahan,positif
683,semoga Pak tidak pelit dalam memberikan nilai,moga tidak pelit nilai,positif
684,Terimakasih telah memberikan ilmu pada semester ini. Secara keseluruhan guru telah menyampaikan dengan sangat baik.,terimakasih ilmu semester ini guru sangat baik,positif
685,Semoga sehat selalu dan bertambah rezekinya,moga sehat tambah rezeki,positif
686,Semoga bisa lebih baik lagi dalam mengajar.,moga baik ajar,positif
687,"saya rasa konsep mengajarnya cukup baik, hanya Siswa dilepas untuk mencari referensi materi sendiri.",konsep ajar cukup baik siswa lepas untuk cari referensi materi,positif
688,Proses belajar mengajar kurang efektif,proses ajar ajar kurang efektif,negatif
689,tetap semangat pak,semangat,positif
690,tentang penyampaian materi,sampai materi,positif
691,Semoga lebih asik dalam pembelajarannya,moga asik ajar,positif
692,Mohon tepat waktu pak dalam mengajarnya,waktu ajar,negatif
693,Sudah sangat baik pak dalam menyampaikan materi,sangat baik materi,positif
694,Lebih melakukan pendekatan terhadap Siswa,dekat siswa,negatif
695,Semoga metode pembelajaran yang bermutu dan dipertahankan,moga metode ajar yang mutu tahan,positif
696,sarannya agar menciptakan metode pembelajaran yang tidak membosankan dikarenakan mataPelajaran manajemen sangat banyak sekali teori dan bacaannya,saran cipta metode ajar yang tidak bosan mata ajar manajemen sangat teori baca,negatif
697,terlalu sore jadwalnya,sore jadwal,negatif
698,Saran untuk pembelajaran Pelajaran pemrograman lanjut adalah semoga semakin lebih baik lagi dalam menyampaikan materi,saran untuk ajar ajar pemrograman moga baik materi,positif
699,tidak ada saran dari saya sekian terimakasih,tidak ada saran sekian terimakasih,positif
700,"Saya berharap ibu guru memberikan tugas sesuai dengan proporsi dan kemampuan siswa, sehingga tugas tersebut lebih optimal dan tidak membebani siswa/i dan penyampaian materi yg terlalu cepat",harap guru tugas sesuai proporsi mampu siswa tugas optimal tidak beban siswa siswi sampai materi yang cepat,negatif
701,Sudah baik silahkan dipertahankan,baik silah tahan,positif
702,Memberikan sebuah literatur agar Siswa lebih mudah dalam proses belajar,literatur siswa mudah proses ajar,negatif
703,ganti aja,ganti,negatif
704,Lebih baiik lagi,baik,positif
705,sangat cukup,sangat cukup,positif
706,tidak ada saran semua sangat baik,tidak ada saran sangat baik,positif
707,oke mantap,oke mantap,positif
708,Semangat meningkatkan kualitas,semangat tingkat kualitas,positif
709,Untuk saran menurut saya tidak ada karena pak sangat baik dalam mengajar,untuk saran tidak ada sangat baik ajar,positif
710,"saran dari saya , ibu guru lebih pelan pelan dalam memberikan materi Pelajaran sehingga saya dapat memahami dengan baik .",saran guru perlahan perlahan materi ajar paham baik,negatif
711,Semoga sehat selalu,moga sehat,positif
712,Memperbanyak latian soal dan mempraktikan langsung pada alat fisik maupun simulasi,banyak latian praktik alat fisik simulasi,positif
713,Seharusnya diadakan ofline aja sih,ada offline sih,negatif
714,terimakasih bu atas ilmu yang diberikan,terimakasih bu ilmu yang,positif
715,"Sudah baik, mungkin kedepannya sekolah bisa menyediakan buku fisik seperti sekolah lainnya",baik depan sekolah sedia buku fisik sekolah,positif
